lat,lon,satelite,data
-19.99544,-61.4743,AQUA_M-T,2026-03-27 19:19:00
-19.91654,-60.63208,AQUA_M-T,2026-03-27 19:19:00
-19.99383,-61.46162,AQUA_M-T,2026-03-27 19:19:00
3.56971,-59.28424,AQUA_M-T,2026-03-27 19:28:00
3.54902,-59.35535,AQUA_M-T,2026-03-27 19:28:00
2.44487,-59.47983,AQUA_M-T,2026-03-27 19:28:00
-19.12652,-56.23443,AQUA_M-T,2026-03-27 19:19:00
2.58172,-60.09694,AQUA_M-T,2026-03-27 19:28:00
3.43058,-59.97008,AQUA_M-T,2026-03-27 19:28:00
3.41929,-59.97961,AQUA_M-T,2026-03-27 19:28:00
2.58323,-60.08639,AQUA_M-T,2026-03-27 19:28:00
3.45954,-61.37779,AQUA_M-T,2026-03-27 19:28:00
2.93016,-60.17224,AQUA_M-T,2026-03-27 19:28:00
2.66421,-60.50184,AQUA_M-T,2026-03-27 19:28:00
2.92657,-60.12884,AQUA_M-T,2026-03-27 19:28:00
2.84787,-60.1759,AQUA_M-T,2026-03-27 19:28:00
2.81403,-60.27696,AQUA_M-T,2026-03-27 19:28:00
-1.05611,-78.43559,NPP-375,2026-03-27 18:53:00
-7.76167,-79.38799,NPP-375,2026-03-27 18:51:00
-7.20047,-79.49769,NPP-375,2026-03-27 18:51:00
-7.18425,-79.43555,NPP-375,2026-03-27 18:51:00
-7.17737,-79.38999,NPP-375,2026-03-27 18:51:00
-7.12184,-79.53527,NPP-375,2026-03-27 18:51:00
-7.1185,-79.53578,NPP-375,2026-03-27 18:51:00
-6.78553,-79.70275,NPP-375,2026-03-27 18:51:00
0.82569,-79.85918,NPP-375,2026-03-27 18:53:00
0.44469,-79.98229,NPP-375,2026-03-27 18:53:00
-19.99902,-61.46439,NPP-375,2026-03-27 18:47:00
-19.99734,-61.45745,NPP-375,2026-03-27 18:47:00
-19.99695,-61.46273,NPP-375,2026-03-27 18:47:00
-19.99523,-61.45581,NPP-375,2026-03-27 18:47:00
-16.64533,-72.70661,NPP-375,2026-03-27 18:49:00
-15.33059,-74.34344,NPP-375,2026-03-27 18:49:00
-13.67279,-76.12733,NPP-375,2026-03-27 18:49:00
-13.47268,-76.09662,NPP-375,2026-03-27 18:49:00
-13.47232,-76.09656,NPP-375,2026-03-27 18:49:00
-6.41222,-77.3509,NPP-375,2026-03-27 18:51:00
-5.99892,-77.02697,NPP-375,2026-03-27 18:51:00
-7.42786,-76.39587,NPP-375,2026-03-27 18:51:00
-7.39736,-76.58737,NPP-375,2026-03-27 18:51:00
-7.35688,-76.54183,NPP-375,2026-03-27 18:51:00
-7.32834,-76.54242,NPP-375,2026-03-27 18:51:00
-7.22125,-76.63816,NPP-375,2026-03-27 18:51:00
-6.74706,-76.62559,NPP-375,2026-03-27 18:51:00
-6.74356,-76.62617,NPP-375,2026-03-27 18:51:00
-6.64885,-77.32401,NPP-375,2026-03-27 18:51:00
-10.68386,-77.57948,NPP-375,2026-03-27 18:49:00
-7.78511,-79.29455,NPP-375,2026-03-27 18:51:00
-7.03611,-78.26478,NPP-375,2026-03-27 18:51:00
-7.03557,-78.26127,NPP-375,2026-03-27 18:51:00
-7.03278,-78.26529,NPP-375,2026-03-27 18:51:00
-7.03224,-78.26179,NPP-375,2026-03-27 18:51:00
-8.98994,-78.64465,NPP-375,2026-03-27 18:51:00
-8.98661,-78.64516,NPP-375,2026-03-27 18:51:00
-8.97445,-78.54313,NPP-375,2026-03-27 18:51:00
-8.949,-78.53273,NPP-375,2026-03-27 18:51:00
-8.74943,-78.50765,NPP-375,2026-03-27 18:51:00
-8.73487,-78.43476,NPP-375,2026-03-27 18:51:00
-8.44051,-78.87537,NPP-375,2026-03-27 18:51:00
-10.79295,-68.97128,NPP-375,2026-03-27 18:49:00
-8.6339,-69.45898,NPP-375,2026-03-27 18:51:00
